uid,Cond,ResponseRegion,LatentPOPRegion,JointMass,ResponseMass,PosteriorGivenResponse
HC,S6C2NR,Tail,Central,6.38589576420438e-05,0.0426277679889561,0.00149806008277487
HC,S6C2NR,Tail,Shoulder,0.00979299976105855,0.0426277679889561,0.229732876551165
HC,S6C2NR,Tail,Tail,0.0327709092702555,0.0426277679889561,0.76876906336606
HC,S6C2R,Central,Central,0.594542232810825,0.650866090260246,0.913463217254258
HC,S6C2R,Central,Shoulder,0.0563225710386365,0.650866090260246,0.0865348062857539
HC,S6C2R,Central,Tail,1.28641078485276e-06,0.650866090260246,1.9764599878577e-06
HC,S6C2R,Shoulder,Central,0.112758013247756,0.320849357655665,0.351435994984187
HC,S6C2R,Shoulder,Shoulder,0.206165377119998,0.320849357655665,0.642561289903702
HC,S6C2R,Shoulder,Tail,0.00192596728791101,0.320849357655665,0.00600271511211177
HC,S6C2R,Tail,Central,6.4950760143944e-05,0.0282845520840891,0.00229633334658606
HC,S6C2R,Tail,Shoulder,0.00962702043026522,0.0282845520840891,0.340363191951719
HC,S6C2R,Tail,Tail,0.01859258089368,0.0282845520840891,0.657340474701695
HC,S6C4NR,Central,Central,0.533653390483365,0.585408173365065,0.911591970805257
HC,S6C4NR,Central,Shoulder,0.0517523689518173,0.585408173365065,0.0884039056959736
HC,S6C4NR,Central,Tail,2.41392988227987e-06,0.585408173365065,4.1234987690794e-06
HC,S6C4NR,Shoulder,Central,0.101481741298618,0.301736066654046,0.336326188724968
HC,S6C4NR,Shoulder,Shoulder,0.196434607027432,0.301736066654046,0.65101467386944
HC,S6C4NR,Shoulder,Tail,0.00381971832799631,0.301736066654046,0.0126591374055916
HC,S6C4NR,Tail,Central,5.85132180346368e-05,0.112855759980889,0.000518477905288531
HC,S6C4NR,Tail,Shoulder,0.0106056763038293,0.112855759980889,0.0939754985091163
HC,S6C4NR,Tail,Tail,0.102191570459026,0.112855759980889,0.905506023585595
HC,S6C4R,Central,Central,0.593010164954499,0.649219056639902,0.913420761281534
HC,S6C4R,Central,Shoulder,0.0562075769043011,0.649219056639902,0.0865772135451615
HC,S6C4R,Central,Tail,1.31478110198364e-06,0.649219056639902,2.02517330404381e-06
HC,S6C4R,Shoulder,Central,0.112474282877263,0.320368434424858,0.351077917770465
HC,S6C4R,Shoulder,Shoulder,0.205920534230787,0.320368434424858,0.64276162100822
HC,S6C4R,Shoulder,Tail,0.00197361731680786,0.320368434424858,0.00616046122131541
HC,S6C4R,Tail,Central,6.47887805272785e-05,0.0304125089352402,0.00213033330019692
HC,S6C4R,Tail,Shoulder,0.00965164509299453,0.0304125089352402,0.317357739657276
HC,S6C4R,Tail,Tail,0.0206960750617184,0.0304125089352402,0.680511927042527
HC,S6C6NR,Central,Central,0.503685256198176,0.553191242174392,0.910508369977758
HC,S6C6NR,Central,Shoulder,0.0495030171065043,0.553191242174392,0.0894862632169051
HC,S6C6NR,Central,Tail,2.96886971081346e-06,0.553191242174392,5.36680533687396e-06
HC,S6C6NR,Shoulder,Central,0.0959318109814894,0.292328929821194,0.328163931774276
HC,S6C6NR,Shoulder,Shoulder,0.191645338358732,0.292328929821194,0.655581158101435
HC,S6C6NR,Shoulder,Tail,0.00475178048097303,0.292328929821194,0.0162549101242888
HC,S6C6NR,Tail,Central,5.53448029519398e-05,0.154479828004415,0.000358265565588007
HC,S6C6NR,Tail,Shoulder,0.0110873489636612,0.154479828004415,0.0717721472563027
HC,S6C6NR,Tail,Tail,0.143337134237802,0.154479828004415,0.927869587178109
PG,S2C2NR,Central,Central,0.746744176214074,0.778294500455978,0.959462228984761
PG,S2C2NR,Central,Shoulder,0.0315503187945157,0.778294500455978,0.0405377640161036
PG,S2C2NR,Central,Tail,5.44738839318173e-09,0.778294500455978,6.99913514741564e-09
PG,S2C2NR,Shoulder,Central,0.0882674051636394,0.203652560159193,0.433421534669839
PG,S2C2NR,Shoulder,Shoulder,0.115006517456561,0.203652560159193,0.56471923243519
PG,S2C2NR,Shoulder,Tail,0.000378637538992986,0.203652560159193,0.00185923289497077
PG,S2C2NR,Tail,Central,1.14371341093783e-06,0.0180529393848288,6.33533069910472e-05
PG,S2C2NR,Tail,Shoulder,0.00129433652063876,0.0180529393848288,0.0716967189136241
PG,S2C2NR,Tail,Tail,0.0167574591507791,0.0180529393848288,0.928239927779385
PG,S4C2NR,Central,Central,0.739183376132731,0.770807768582897,0.958972400462042
PG,S4C2NR,Central,Shoulder,0.0316243835113203,0.770807768582897,0.0410275879412329
PG,S4C2NR,Central,Tail,8.93884584741231e-09,0.770807768582897,1.15967251651421e-08
PG,S4C2NR,Shoulder,Central,0.0887402150901397,0.20414941430024,0.434682682751323
PG,S4C2NR,Shoulder,Shoulder,0.114895764823385,0.20414941430024,0.562802324058639
PG,S4C2NR,Shoulder,Tail,0.000513434386715566,0.20414941430024,0.00251499319003905
PG,S4C2NR,Tail,Central,1.39765954120975e-06,0.0250428171168636,5.58107953545121e-05
PG,S4C2NR,Tail,Shoulder,0.00144817571847765,0.0250428171168636,0.0578279876309309
PG,S4C2NR,Tail,Tail,0.0235932437388448,0.0250428171168636,0.942116201573715
PG,S4C2R,Central,Central,0.748872581589124,0.780759096874729,0.959159598122849
PG,S4C2R,Central,Shoulder,0.0318865097574595,0.780759096874729,0.0408403947966752
PG,S4C2R,Central,Tail,5.52814592363084e-09,0.780759096874729,7.08047584172794e-09
PG,S4C2R,Shoulder,Central,0.0898496457613642,0.204804363953733,0.438709625258091
PG,S4C2R,Shoulder,Shoulder,0.114640683727545,0.204804363953733,0.559757036004578
