uid,Cond,ErrorRegion,Stage,nObs,ModelMass,MeanRT,Q10RT,MedianRT,Q90RT
AQ,S6C4NR,Central,H0a POPCDM,NaN,4.70615707148772,1.82330700913139,1.46012567707688,1.80012567707688,2.22012567707688
AQ,S6C4NR,Shoulder,Observed,179,NaN,1.85980223463634,1.52496000022888,1.79719999980927,2.3175
AQ,S6C4NR,Shoulder,H0a POPCDM,NaN,1.99487783757313,1.82623125222759,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C4NR,Tail,Observed,75,NaN,1.98932666675568,1.57619999980927,1.9155,2.3805
AQ,S6C4NR,Tail,H0a POPCDM,NaN,1.21372150387068,1.8245801502262,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C4R,Central,Observed,358,NaN,1.84698100556608,1.49712999997139,1.84330000019073,2.19548999986649
AQ,S6C4R,Central,H0a POPCDM,NaN,5.39779268813425,1.82328285745329,1.46012567707688,1.80012567707688,2.22012567707688
AQ,S6C4R,Shoulder,Observed,112,NaN,1.89678392850501,1.52611999998093,1.86465000009537,2.32674999961853
AQ,S6C4R,Shoulder,H0a POPCDM,NaN,2.12359027130416,1.82644112188083,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C4R,Tail,Observed,29,NaN,2.04721724138589,1.64638000011444,2,2.53471999988556
AQ,S6C4R,Tail,H0a POPCDM,NaN,0.393373453493125,1.82547680698768,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C6NR,Central,Observed,205,NaN,1.7856756097654,1.44679999923706,1.756,2.09559999990463
AQ,S6C6NR,Central,H0a POPCDM,NaN,3.86364180650227,1.82334811152219,1.46012567707688,1.80012567707688,2.22012567707688
AQ,S6C6NR,Shoulder,Observed,150,NaN,1.82672266664823,1.503,1.79355000019073,2.20164999985695
AQ,S6C6NR,Shoulder,H0a POPCDM,NaN,1.83808690951536,1.82593589013349,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C6NR,Tail,Observed,142,NaN,1.91165422533935,1.53382999963761,1.88174999976158,2.35925000009537
