"subexperiment","participant_id","redundancy","tab_away_count","target_orientation","started_outof_center","too_fast_trigger","num_items","response_RT_from_start","response_error_deg","duration_ms","response_orientation_360","response_RT","leave_center_RT","cue_type","too_slow_trigger","trial_event"
3,"651033d039c135459ac83d8f",1,2,148,"[True]","[False]",6,"[2116.0999999940395]","[5.935958207199519]",50,142.0640417928,"[1200.5999999940395]","[None]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,154,"[False]","[False]",4,"[3568.7000000178814]","[43.993087817973674]",50,197.993087817974,"[1099.9000000059605]","[2468.800000011921]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,124,"[False]","[False]",6,"[4499.9000000059605]","[72.29748843788798]",50,196.297488437888,"[2233.5]","[2266.4000000059605]","Baseline","[True]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,134,"[False]","[False]",6,"[2823.399999976158]","[77.69006752597977]",250,236.30993247402,"[2166.399999976158]","[657]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,134,"[True]","[False]",4,"[2069.5]","[16.600096734004183]",150,297.399903265996,"[2066.5]","[None]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,153,"[False]","[False]",4,"[1835.4000000059605]","[42.60512391795163]",50,290.394876082048,"[849.7000000178814]","[985.6999999880791]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,174,"[True]","[False]",4,"[3155.5999999940395]","[66.29957221133282]",150,107.700427788667,"[3134.5999999940395]","[None]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,124,"[False]","[False]",4,"[1904.5]","[0.30993247402022917]",250,123.69006752598,"[649.9000000059605]","[1254.5999999940395]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,139,"[False]","[False]",4,"[2610.5999999940395]","[4.457236202771469]",250,143.457236202771,"[1549.5999999940395]","[1061]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,19,"[False]","[False]",4,"[2717.5]","[31.370994695535728]",150,230.370994695536,"[1233.5999999940395]","[1483.9000000059605]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,177,"[False]","[False]",4,"[2077.300000011921]","[59.078471654873795]",150,297.921528345126,"[1267.5]","[809.8000000119209]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,41,"[False]","[False]",6,"[3068.4000000059605]","[1.7268472589113344]",250,219.273152741089,"[1799.7000000178814]","[1268.699999988079]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,101,"[False]","[False]",6,"[1594.199999988079]","[45.5792876032055]",150,235.420712396794,"[600]","[994.1999999880791]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,3,"[False]","[False]",6,"[4001.699999988079]","[69.69947280805502]",250,72.699472808055,"[283.69999998807907]","[3718]","Baseline","[True]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,2,"[False]","[False]",6,"[2793.800000011921]","[55.65255650055792]",50,57.652556500558,"[450.30000001192093]","[2343.5]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,139,"[True]","[False]",4,"[1346.699999988079]","[15.439122287807095]",150,303.560877712193,"[1300]","[None]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,42,"[False]","[False]",4,"[1867.5999999940395]","[13.503003018917752]",50,235.503003018918,"[450.2000000178814]","[1417.3999999761581]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,172,"[False]","[False]",4,"[1506.9000000059605]","[44.43140797117252]",150,307.568592028827,"[916.4000000059605]","[590.5]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,13,"[False]","[False]",6,"[1653.4000000059605]","[26.53870865538977]",50,39.5387086553898,"[349.90000000596046]","[1303.5]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,101,"[False]","[False]",4,"[1633.699999988079]","[2.414102496133296]",150,283.414102496133,"[1000]","[633.6999999880791]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,60,"[False]","[False]",4,"[1403.5999999940395]","[25.120726216993262]",250,265.120726216993,"[683.4000000059605]","[720.1999999880791]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,103,"[False]","[True]",6,"[1715.699999988079]","[1.231711067979404]",250,281.768288932021,"[1633.5999999940395]","[82.09999999403954]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,42,"[False]","[False]",6,"[1772.9000000059605]","[14.694892724975034]",50,236.694892724975,"[717.0999999940395]","[1055.800000011921]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,83,"[False]","[False]",4,"[1499.699999988079]","[9.58733855692742]",150,253.412661443073,"[600]","[899.6999999880791]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,164,"[False]","[False]",4,"[2451.4000000059605]","[38.27586519233108]",250,125.724134807669,"[816.5]","[1634.9000000059605]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,136,"[False]","[False]",4,"[1545.3999999761581]","[2.815684686360555]",250,313.18431531364,"[832.5999999940395]","[712.7999999821186]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,62,"[False]","[False]",6,"[1996.300000011921]","[5.809711103877476]",250,247.809711103877,"[1199.9000000059605]","[796.4000000059605]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,78,"[False]","[False]",4,"[1298]","[54.397437797500174]",50,132.3974377975,"[583.2000000178814]","[714.7999999821186]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,76,"[False]","[False]",4,"[1324.8999999761581]","[25.59840750299179]",50,50.4015924970082,"[566.5]","[758.3999999761581]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,123,"[False]","[False]",4,"[1274.2000000178814]","[17.339970868156456]",150,285.660029131844,"[433.30000001192093]","[840.9000000059605]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,36,"[False]","[False]",6,"[1579.1000000238419]","[35.766140974126756]",250,0.233859025873267,"[333.40000000596046]","[1245.7000000178814]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,86,"[False]","[False]",6,"[2730.699999988079]","[16.282559088916628]",50,69.7174409110834,"[766.4000000059605]","[1964.2999999821186]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,106,"[False]","[False]",6,"[1730.699999988079]","[19.049373312048374]",250,125.049373312048,"[766.5999999940395]","[964.0999999940395]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,102,"[False]","[False]",6,"[1841.4000000059605]","[2.542774490894544]",150,284.542774490894,"[349.90000000596046]","[1491.5]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,123,"[False]","[False]",4,"[2065.5]","[6.273152741088779]",150,309.273152741089,"[981]","[1084.5]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,74,"[False]","[False]",4,"[1640.4000000059605]","[10.878139752098605]",50,63.1218602479014,"[949.8000000119209]","[690.5999999940395]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,49,"[False]","[False]",4,"[1767.800000011921]","[1.906141113770559]",150,50.9061411137705,"[933.3000000119209]","[834.5]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,96,"[False]","[False]",4,"[1910.9000000059605]","[33.57013718233213]",50,242.429862817668,"[83.40000000596046]","[1827.5]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,59,"[False]","[False]",6,"[1680.1000000238419]","[64.69006752597977]",250,123.69006752598,"[683.4000000059605]","[996.7000000178814]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,87,"[False]","[False]",4,"[2771.4000000059605]","[20.8683300133074]",50,66.1316699866926,"[1667]","[1104.4000000059605]","Baseline","[False]","orientation_response_event"
