uid,start_date_local,session,age,colorblind,gender,num_items,ColorN,redundancy,response_error,response_RT,rotation,response_degrees,response_radians,target_angle_norotation,response_derotated_degress,target_color,target_patchN,Patch_Locations1,Patch_Locations2,Patch_Locations3,Patch_Locations4,Patch_Locations5,Patch_Locations6,Patch_Color_Angle1,Patch_Color_Angle2,Patch_Color_Angle3,Patch_Color_Angle4,Patch_Color_Angle5,Patch_Color_Angle6,all_patch_colors,leave_center_RT,started_outof_center,too_fast_trigger,too_slow_trigger,timeout,tab_away_count,points,Gestalt,num_itemsi,ColorNi,redundanti,Cnd
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,9.65478585828433,1328.19999980927,162,193.654785858284,2.90327168170797,22,31.6547858582843,"[225.53, 86.09, 0]",1,71,249,160,338,NaN,NaN,22,265,155,73,NaN,NaN,"[[225.53, 86.09, 0], [101.9, 109.24, 255], [0, 215.01, 160.65], [193.44, 169.33, 0]]",1161.2999997139,FALSE,FALSE,FALSE,FALSE,1,95,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-0.886543159160084,1427.19999980927,162,225.11345684084,2.35421429476078,64,63.1134568408399,"[203.2, 162.69, 0]",1,263,145,27,86,322,204,64,11,262,206,342,173,"[[203.2, 162.69, 0], [233.43, 67.56, 74.3], [78.59, 114.69, 255], [0, 241.45, 255], [247.55, 0, 161.31], [0, 232.09, 205.12]]",1261.09999990463,FALSE,FALSE,FALSE,FALSE,1,100,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,50.9215283451262,1077.89999961853,162,162.921528345126,-2.84351709200372,310,0.921528345126205,"[236.19, 0, 229.75]",1,237,59,326,148,NaN,NaN,310,235,161,9,NaN,NaN,"[[236.19, 0, 229.75], [0, 209.08, 255], [0, 221.47, 176.86], [234.86, 64.51, 82.2]]",878,FALSE,FALSE,FALSE,FALSE,1,72,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,43.6960764459401,1338.19999980927,162,32.6960764459401,-0.57065418646542,187,230.69607644594,"[0, 240.14, 232.8]",1,85,203,144,262,321,26,187,166,308,288,53,112,"[[0, 240.14, 232.8], [0, 226.28, 189.23], [233.6, 0, 232.8], [195.24, 56.78, 255], [212.67, 151.63, 0], [117.45, 179.47, 0]]",1034.09999990463,FALSE,FALSE,FALSE,FALSE,1,76,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,13.4053115009569,1617.5,162,144.405311500957,-2.52034814305973,329,342.405311500957,"[248.74, 0, 193.45]",1,256,77,NaN,NaN,NaN,NaN,329,188,NaN,NaN,NaN,NaN,"[[248.74, 0, 193.45], [0, 240.51, 234.58]]",1050.5,FALSE,FALSE,FALSE,FALSE,1,93,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,21.417636233689,1388.80000019073,162,254.417636233689,1.84275987976049,71,92.417636233689,"[195.78, 168.02, 0]",1,10,246,69,187,128,305,71,37,152,287,353,202,"[[195.78, 168.02, 0], [221.93, 127.22, 0], [0, 211.5, 151.85], [192.62, 59.57, 255], [243.86, 33.18, 132.16], [0, 242.29, 255]]",1072.7000002861,FALSE,FALSE,FALSE,FALSE,1,88,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,-0.287442218743934,1015.60000038147,162,155.712557781256,-2.71769681998483,354,353.712557781256,"[243.44, 35.75, 129.43]",1,197,18,NaN,NaN,NaN,NaN,354,132,NaN,NaN,NaN,NaN,"[[243.44, 35.75, 129.43], [0, 183.01, 64.59]]",930.800000190735,FALSE,FALSE,FALSE,FALSE,1,100,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-137.18457214287,1293.80000019073,162,51.8154278571303,-0.904349819436514,27,249.81542785713,"[224.92, 103.19, 0]",1,86,263,204,322,145,27,27,287,318,75,134,199,"[[224.92, 103.19, 0], [192.62, 59.57, 255], [243.94, 0, 216.01], [191.01, 170.56, 0], [0, 186.29, 78.43], [0, 242.49, 252.44]]",1193.40000009537,FALSE,FALSE,FALSE,FALSE,1,24,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,3.80281966470886,1400.5,162,50.8028196647089,-0.886676472446091,245,248.802819664709,"[0, 181.74, 255]",1,103,162,221,44,339,280,245,225,20,129,300,102,"[[0, 181.74, 255], [0, 226.56, 255], [226.24, 79.97, 15.35], [0, 177.88, 33.37], [220.49, 7.89, 243.68], [145.01, 179.49, 0]]",1200.30000019073,FALSE,FALSE,FALSE,FALSE,1,98,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,5.59157447236475,1175.59999990463,162,234.591574472365,2.18878993519934,67,72.5915744723648,"[200.16, 165.12, 0]",1,212,34,123,301,NaN,NaN,67,155,215,46,NaN,NaN,"[[200.16, 165.12, 0], [0, 215.01, 160.65], [0, 236.89, 255], [217.38, 142.44, 0]]",991.200000286102,FALSE,FALSE,FALSE,FALSE,1,97,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,-25.290163192243,1149.09999990463,162,186.709836807757,3.02448390902293,50,24.709836807757,"[214.81, 147.93, 0]",1,346,257,79,168,NaN,NaN,50,204,114,137,NaN,NaN,"[[214.81, 147.93, 0], [0, 241.95, 255], [110.56, 179.25, 0], [0, 191.01, 95.17]]",1015.09999990463,FALSE,FALSE,FALSE,FALSE,1,86,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,23.5317707410828,1640.30000019073,162,311.531770741083,0.845930183179555,126,149.531770741083,"[39.26, 176.28, 0]",1,54,349,172,113,290,231,126,10,258,343,64,208,"[[39.26, 176.28, 0], [234.15, 66.05, 78.34], [16.97, 121.51, 255], [247.2, 0, 158.55], [203.2, 162.69, 0], [0, 240.77, 255]]",1490.30000019073,FALSE,FALSE,FALSE,FALSE,1,87,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,-9.47088028469196,1389.59999990463,162,7.52911971530804,-0.131407928808943,215,205.529119715308,"[0, 236.89, 255]",1,86,265,NaN,NaN,NaN,NaN,215,81,NaN,NaN,NaN,NaN,"[[0, 236.89, 255], [183.05, 173.73, 0]]",1352.09999990463,FALSE,FALSE,FALSE,FALSE,1,95,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-137.955448940052,1623.2999997139,162,265.044551059948,1.65728522671327,241,103.044551059948,"[0, 194.11, 255]",1,263,204,27,86,145,322,241,19,206,307,116,142,"[[0, 194.11, 255], [227.1, 78.68, 27.84], [0, 241.45, 255], [232.19, 0, 234.27], [102.97, 178.95, 0], [0, 198.4, 117.44]]",1357.2999997139,FALSE,FALSE,FALSE,FALSE,1,23,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,-15.6840946363792,1648.09999990463,162,253.315905363621,1.86198871091404,107,91.3159053636208,"[132.41, 179.71, 0]",1,353,174,NaN,NaN,NaN,NaN,107,149,NaN,NaN,NaN,NaN,"[[132.41, 179.71, 0], [0, 207.8, 142.47]]",1139.69999980927,FALSE,FALSE,FALSE,FALSE,1,91,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,12.304846468766,1233.5,162,55.304846468766,-0.965251663189926,241,253.304846468766,"[0, 194.11, 255]",1,348,169,NaN,NaN,NaN,NaN,241,196,NaN,NaN,NaN,NaN,"[[0, 194.11, 255], [0, 242.36, 247.9]]",1012.40000009537,FALSE,FALSE,FALSE,FALSE,1,93,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-41.8639719603119,1414.19999980927,162,91.1360280396881,-1.59062375648243,331,289.136028039688,"[248.99, 0, 188.9]",1,52,229,288,170,347,111,331,154,7,277,63,210,"[[248.99, 0, 188.9], [0, 213.86, 157.78], [236.23, 61.34, 89.52], [160.94, 84.49, 255], [204.17, 161.83, 0], [0, 239.91, 255]]",1198.09999990463,FALSE,FALSE,FALSE,FALSE,1,77,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,147.24061873233,1643.80000019073,162,305.24061873233,0.955731499475746,356,143.24061873233,"[242.54, 40.51, 123.86]",1,145,263,86,27,322,204,356,190,153,261,42,97,"[[242.54, 40.51, 123.86], [0, 241.16, 238.07], [0, 212.69, 154.85], [68.82, 116.45, 255], [219.61, 136.23, 0], [155.9, 178.84, 0]]",1510.7000002861,FALSE,FALSE,FALSE,FALSE,1,18,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,26.6348303033749,1265.30000019073,162,0.634830303374855,-0.0110798789853257,172,198.634830303375,"[0, 231.33, 202.94]",1,212,33,NaN,NaN,NaN,NaN,172,100,NaN,NaN,NaN,NaN,"[[0, 231.33, 202.94], [149.54, 179.28, 0]]",1132.30000019073,FALSE,FALSE,FALSE,FALSE,1,85,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,14.2564371635293,1440.80000019073,162,30.2564371635293,-0.52807444842636,214,228.256437163529,"[0, 237.6, 255]",1,61,328,150,239,NaN,NaN,214,268,102,121,NaN,NaN,"[[0, 237.6, 255], [120.2, 103.5, 255], [145.01, 179.49, 0], [79.41, 177.86, 0]]",1198.30000019073,FALSE,FALSE,FALSE,FALSE,1,92,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,25.7998851586527,1201.40000009537,162,153.799885158653,-2.68431438520765,326,351.799885158653,"[248.02, 0, 200.01]",1,14,193,NaN,NaN,NaN,NaN,326,28,NaN,NaN,NaN,NaN,"[[248.02, 0, 200.01], [224.73, 106.09, 0]]",1067.40000009537,FALSE,FALSE,FALSE,FALSE,1,86,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,6.54596832547284,1291.40000009537,162,177.545968325473,-3.09876172092106,9,15.5459683254728,"[234.86, 64.51, 82.2]",1,113,24,202,291,NaN,NaN,9,251,200,309,NaN,NaN,"[[234.86, 64.51, 82.2], [0, 158.44, 255], [0, 242.46, 253.9], [234.93, 0, 231.29]]",1024.5,FALSE,FALSE,FALSE,FALSE,1,96,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,2.82390572492363,1364.40000009537,162,155.823905724924,-2.71964020821716,351,353.823905724924,"[244.63, 27.52, 137.52]",1,235,324,146,57,NaN,NaN,351,254,97,234,NaN,NaN,"[[244.63, 27.52, 137.52], [0, 143.9, 255], [155.9, 178.84, 0], [0, 211.21, 255]]",1126.80000019073,FALSE,FALSE,FALSE,FALSE,1,98,NA,4,4,0,4
