ID,effect,estimate,boot_mean,boot_se,lower,upper,n_boot,parameter,excludes_0
AQ,catchup_late_gamma,-0.050343940708060204,-0.0544812226232095,0.0484638812607091,-0.16448566988256894,-1.454158963783816e-4,60,gamma,TRUE
AQ,catchup_late_beta,0.2280510492427658,0.2204718009638298,0.1008264950838658,0.040527920446038104,0.42937451708090313,60,beta,TRUE
AQ,NR_practice_durEffect_kappa,-1.1678334671155493,-1.1657849208491633,3.103198894821849,-9.470763087028622,3.546598895984014,60,kappa,FALSE
AQ,NR_practice_durEffect_gamma,-0.10667584704453317,-0.08774493450141341,0.09400433800665685,-0.28595405498025,0.05610309621781495,60,gamma,FALSE
AQ,NR_practice_durEffect_beta,-0.20675997329923643,-0.21865952356302726,0.14007210364867453,-0.4530741258343268,-0.00879289752636018,60,beta,TRUE
AQ,R_practice_durEffect_kappa,2.4784681029519238,4.308182754760491,8.674865637675039,-8.658650474376003,21.909884585828998,60,kappa,FALSE
AQ,R_practice_durEffect_gamma,0.10633764027377822,0.1117076777152156,0.08468868477471499,0.003819214965985489,0.3030301266433481,60,gamma,TRUE
AQ,R_practice_durEffect_beta,0.020505795890094543,0.019208604322432446,0.03350155535877764,-0.032697877887332624,0.08053491248905267,60,beta,FALSE
HC,gain50_kappa_NR_minus_R,-5.127498660076446,-5.064240108212138,1.037869960443873,-7.233974324979805,-3.4408884488578577,60,kappa,TRUE
HC,gain50_gamma_NR_minus_R,0.016664315553371282,0.013854465213412598,0.0063588260819194145,0.004641843057388068,0.02718720679038844,60,gamma,TRUE
HC,gain50_beta_NR_minus_R,0.05673938539944624,0.057137326120999955,0.036363796405636334,-0.003565479414012802,0.11900074082107102,60,beta,FALSE
HC,NR_350_minus_50_kappa,2.8363463805493363,3.3675709169911534,1.31567766274918,1.1130325600373898,5.760163333516831,60,kappa,TRUE
HC,NR_linear_trend_kappa,11.795912470675782,13.437282102128394,4.109850366170868,7.297257211957092,20.97908839678713,60,kappa,TRUE
HC,NR_350_minus_50_gamma,0.06535213469646466,0.06427473469830679,0.04197850633891865,0.008758620195018421,0.15907464646065053,60,gamma,TRUE
HC,NR_linear_trend_gamma,-0.10760612200148689,-0.11181195107362822,0.16934731888447302,-0.39379071782613784,0.1949699597946744,60,gamma,FALSE
HC,NR_350_minus_50_beta,0.013607722924535923,0.010431449831598152,0.04875083073631881,-0.07807288272618523,0.09354062633788682,60,beta,FALSE
HC,NR_linear_trend_beta,0.1889454276795792,0.16850522519351635,0.1700212843208591,-0.15480516733079827,0.462793020531382,60,beta,FALSE
HC,R_350_minus_50_kappa,1.5371056537582763,1.6853667069693474,1.2423194171731973,-0.33453585374819433,3.867241158884495,60,kappa,FALSE
HC,R_linear_trend_kappa,4.676939499585771,4.860275707508233,7.199067043556096,-8.276773177810131,18.455213944542255,60,kappa,FALSE
HC,R_350_minus_50_gamma,0.010398887584017674,0.010351211992688712,0.006100497644407942,9.514480479117741e-4,0.023493841332054823,60,gamma,TRUE
HC,R_linear_trend_gamma,-0.04197899389072551,-0.029817561608211706,0.08453254770891676,-0.18871392689680846,0.105137266877803,60,gamma,FALSE
HC,R_350_minus_50_beta,-0.041898774046107846,-0.0390112590360057,0.0133122762324811,-0.06588580763833293,-0.016812934305548123,60,beta,TRUE
HC,R_linear_trend_beta,-0.11873680398618319,-0.11500712717466813,0.0535398549541329,-0.21243655536260908,-0.018309853931029837,60,beta,TRUE
HC,catchup_average_kappa,1.29924072679106,1.6822042100218058,1.7770246770238018,-1.5323097408853426,4.59176658428453,60,kappa,FALSE
HC,catchup_average_gamma,-0.05495324711244698,-0.053923522705618065,0.04422004344926486,-0.15106023129331952,0.012585284542194182,60,gamma,FALSE
HC,catchup_average_beta,-0.05550649697064377,-0.04944270886760385,0.05190475625961806,-0.14657592857826948,0.04158043722688052,60,beta,FALSE
HC,catchup_early_kappa,1.5016243092097632,2.2575357185488727,4.2633891300724684,-4.986475715292924,9.397699310539451,60,kappa,FALSE
HC,catchup_early_gamma,0.05142707520524904,0.03753031707806268,0.11930607626931888,-0.13149657535853243,0.2710347256474118,60,gamma,FALSE
HC,catchup_early_beta,0.05846857007458543,0.052418892054729174,0.09752062813907311,-0.10540563382688412,0.24200368700490976,60,beta,FALSE
HC,catchup_late_kappa,0.8405041214576672,1.2253167081513527,3.026740109072818,-3.0907639266159475,8.2334271002742625,60,kappa,FALSE
HC,catchup_late_gamma,-0.046602557827928805,-0.0647547528350096,0.08914953132695967,-0.3505170862757009,5.351181456021415e-4,60,gamma,FALSE
HC,catchup_late_beta,-0.15080241111278653,-0.14147628946745547,0.0782210869508518,-0.2807495146797986,0.00630286207985619,60,beta,FALSE
HC,NR_practice_durEffect_kappa,-0.6701729528168858,-1.005849875596793,4.512161742348528,-8.50654321475841,7.5879369255817615,60,kappa,FALSE
HC,NR_practice_durEffect_gamma,0.03911305447024216,0.045427932781667346,0.14250899489333146,-0.16486211146926183,0.3976400152991828,60,gamma,FALSE
HC,NR_practice_durEffect_beta,0.26342195347013897,0.24817914580576525,0.11648638124738252,0.03979111692798454,0.46342262432196657,60,beta,TRUE
HC,R_practice_durEffect_kappa,-0.009052765064789803,0.02636913480072717,3.246330132247053,-5.9439018209467935,6.838953359327618,60,kappa,FALSE
HC,R_practice_durEffect_gamma,-0.05891657856293569,-0.0568571371314049,0.03448059008503911,-0.13716130241125754,-0.004566157831496166,60,gamma,TRUE
HC,R_practice_durEffect_beta,0.05415097228276698,0.05428396428358061,0.054986284250957605,-0.05312938799927936,0.1488186516841284,60,beta,FALSE
YILIU,gain50_kappa_NR_minus_R,-17.706487996921894,-18.126666361184398,3.8599058180421233,-25.26488147818904,-11.481112017051768,60,kappa,TRUE
YILIU,gain50_gamma_NR_minus_R,-0.05174371418490614,-0.04737375005895792,0.01961039127976815,-0.0864879088928138,-0.012552456451623716,60,gamma,TRUE
YILIU,gain50_beta_NR_minus_R,0.2509366506080263,0.2507344378189801,0.030058027227818997,0.18926965705639726,0.29638952620825665,60,beta,TRUE
YILIU,NR_350_minus_50_kappa,0.8277926833853115,0.9405156970748437,1.4049543314967488,-1.5916734524465757,3.773885479521378,60,kappa,FALSE
YILIU,NR_linear_trend_kappa,18.664969343510098,20.31966604448887,8.139322333903722,6.207206061862728,37.66716008861003,60,kappa,TRUE
YILIU,NR_350_minus_50_gamma,0.15836268339432807,0.13277451211342353,0.055623535581104416,0.030575000067955375,0.23628647323720958,60,gamma,TRUE
YILIU,NR_linear_trend_gamma,0.5139091576758157,0.4242526800810494,0.23833240773398082,-0.051632329602057596,0.8971599909541218,60,gamma,FALSE
YILIU,NR_350_minus_50_beta,-0.14475994386834912,-0.14164193908409323,0.04773334794524492,-0.22585908930391807,-0.04989779203215247,60,beta,TRUE
YILIU,NR_linear_trend_beta,-0.4380170820660091,-0.4182813593419388,0.1929615491318617,-0.8089538308498702,-0.10288647868763351,60,beta,TRUE
YILIU,R_350_minus_50_kappa,17.408396744093498,16.594711756074144,7.052568968991577,4.628451907670103,32.42858984715547,60,kappa,TRUE
YILIU,R_linear_trend_kappa,75.01097952325286,70.98672644435418,25.337664672869284,31.626969556636034,132.12084570250133,60,kappa,TRUE
YILIU,R_350_minus_50_gamma,-0.03075746641877841,-0.03316322765047188,0.01951272126601858,-0.06931421548602551,0.011985895375377436,60,gamma,FALSE
YILIU,R_linear_trend_gamma,-0.20173960430475274,-0.18691860443065825,0.07132604931378032,-0.3329636468645901,-0.06598716377862168,60,gamma,TRUE
YILIU,R_350_minus_50_beta,0.002859188110647417,3.844998559165191e-4,0.01091483864482101,-0.023019373339310537,0.01729899812812536,60,beta,FALSE
YILIU,R_linear_trend_beta,0.02140584261482996,0.011678970097885396,0.03449793141388067,-0.0590532054221893,0.06828637471495637,60,beta,FALSE
YILIU,catchup_average_kappa,-16.580604060708186,-15.654196058999302,7.2460840602896806,-31.613719676782793,-3.1130358710825337,60,kappa,TRUE
YILIU,catchup_average_gamma,-0.1891201498131065,-0.1659377397638955,0.06075228824756443,-0.2664173546568797,-0.060826224313139526,60,gamma,TRUE
YILIU,catchup_average_beta,0.14761913197899654,0.14202643894000974,0.04941439677428039,0.033313459480293725,0.22300313829526297,60,beta,TRUE
YILIU,catchup_early_kappa,-15.773447629278207,-14.59628038541259,9.206899392023548,-29.899451198407235,4.787918691572895,60,kappa,FALSE
YILIU,catchup_early_gamma,-0.2880292505717654,-0.27176340450023095,0.1335723573308671,-0.5597078911398877,-0.02000326152728045,60,gamma,TRUE
YILIU,catchup_early_beta,0.3111951418321823,0.28828867562159055,0.0879511702095488,0.12558339106478583,0.44756727806571506,60,beta,TRUE
YILIU,catchup_late_kappa,-15.423672317333923,-13.577539074232277,16.018340849479973,-34.99000819443133,21.09626330156192,60,kappa,FALSE
YILIU,catchup_late_gamma,-0.12267231415162334,-0.1287850230247548,0.08268143945603998,-0.3094263320200631,-0.011206137287415138,60,gamma,TRUE
YILIU,catchup_late_beta,0.03041594255074371,0.025846881653256708,0.07324819911513522,-0.10989789232487313,0.13267340514519937,60,beta,FALSE
YILIU,NR_practice_durEffect_kappa,-0.3592262068502379,0.5892997991341784,5.182037294123517,-8.059953071521306,10.977889888028816,60,kappa,FALSE
YILIU,NR_practice_durEffect_gamma,-0.11681473705121273,-0.09663759710470865,0.16386806082042718,-0.3926983296149531,0.21681077543407606,60,gamma,FALSE
YILIU,NR_practice_durEffect_beta,0.2656378310409423,0.24574897713041263,0.13462405101636482,-0.026899456370303127,0.4768611437456284,60,beta,FALSE
YILIU,R_practice_durEffect_kappa,-0.7090015187945227,-0.42944151204612974,19.663864803308766,-35.69313252835222,32.89421031283932,60,kappa,FALSE
YILIU,R_practice_durEffect_gamma,0.048542199368929374,0.046340784370767614,0.06162549593590737,-0.10210737728899907,0.14393078385826488,60,gamma,FALSE
YILIU,R_practice_durEffect_beta,-0.015141368240496257,-0.01669281683792116,0.024416456928415705,-0.06440140514554235,0.029885315951627543,60,beta,FALSE
