ID,effect,CueType,DurationF,parameter,estimate,boot_mean,boot_se,lower,upper,n_boot,Duration_ms
AQ,R_350ms_gamma,R,350ms,gamma,1.6250850882160204e-80,8.05044428663747e-81,1.0052259180316757e-80,2.0770744218422298e-82,3.101739103973662e-80,60,350
AQ,R_50ms_beta,R,50ms,beta,0.028734435705005435,0.028132711445363095,0.013697895251273679,0.007275408903793489,0.058658403428742775,60,50
AQ,R_100ms_beta,R,100ms,beta,0.030166441521705827,0.02769787314657297,0.021440857005629733,0.002080905927083439,0.06730460456160353,60,100
AQ,R_150ms_beta,R,150ms,beta,0.00950727844618556,0.010414596561704856,0.007726244287010186,6.002049893227537e-4,0.02919666369294703,60,150
AQ,R_200ms_beta,R,200ms,beta,0.010627343814625953,0.008432894537603073,0.010944949917441393,1.2702941204483794e-4,0.03658856348778765,60,200
AQ,R_250ms_beta,R,250ms,beta,3.1284089346799914e-20,1.0993021452901117e-19,4.1072068406743675e-19,1.5063515464747003e-21,7.181313146076839e-19,60,250
AQ,R_300ms_beta,R,300ms,beta,0.012238774596903826,0.0113001945937754,0.008806975889310401,2.3189116452240134e-4,0.03009869118586833,60,300
AQ,R_350ms_beta,R,350ms,beta,0.02360589511521934,0.023883042865286728,0.012535785495432671,0.0023201654433860973,0.050270667307506116,60,350
HC,NR_50ms_kappa,NR,50ms,kappa,3.9820273983973498,3.9732093009830445,0.5612358093667239,3.0011320176400056,4.982881939500006,60,50
HC,NR_100ms_kappa,NR,100ms,kappa,5.129378876886155,5.220828090050123,0.5474571562128361,4.290776023569768,6.246123904287506,60,100
HC,NR_150ms_kappa,NR,150ms,kappa,4.007175320831353,4.056835625692853,0.6502461682018004,3.1392028029103556,5.4655856104170395,60,150
HC,NR_200ms_kappa,NR,200ms,kappa,4.391326438500241,4.58902693592129,0.7447947390920396,3.4050758486967,5.921822080203788,60,200
HC,NR_250ms_kappa,NR,250ms,kappa,3.635805264860358,3.6921793343138547,0.7348794674100398,2.684506488116538,5.4609408433444,60,250
HC,NR_300ms_kappa,NR,300ms,kappa,6.9585005693855395,7.070440911317091,0.6424394510636533,6.023754970364429,8.405733270544733,60,300
HC,NR_350ms_kappa,NR,350ms,kappa,6.818373778946686,7.340780217974199,1.329292468025104,5.418095424791049,9.939007753017169,60,350
HC,NR_50ms_gamma,NR,50ms,gamma,0.016664315553371282,0.013854465213412598,0.0063588260819194145,0.004641843057388068,0.02718720679038844,60,50
HC,NR_100ms_gamma,NR,100ms,gamma,0.10037830521425137,0.101214022167618,0.02811382559399838,0.05145606221419656,0.16062673077992473,60,100
HC,NR_150ms_gamma,NR,150ms,gamma,0.18063890494797147,0.16389586065483389,0.04843807286397547,0.07142457133627388,0.2373093334649023,60,150
HC,NR_200ms_gamma,NR,200ms,gamma,4.118226669857826e-26,3.2523398366657657e-26,2.5628498101475117e-26,2.8617314024463255e-27,8.738723904909374e-26,60,200
HC,NR_250ms_gamma,NR,250ms,gamma,0.07773298928559337,0.06168774982152132,0.048049481906146295,0.0027787878781210824,0.1645549226044799,60,250
HC,NR_300ms_gamma,NR,300ms,gamma,1.0378634457108686e-54,9.030117126737727e-55,5.8025358174128195e-55,1.3853373414580729e-55,2.1165971643174023e-54,60,300
HC,NR_350ms_gamma,NR,350ms,gamma,0.08201645024983593,0.07812919991171938,0.04061012875973488,0.023361334675350474,0.16675307364274083,60,350
HC,NR_50ms_beta,NR,50ms,beta,0.09988507139153167,0.09795043469080289,0.03423501533763802,0.036925993200850576,0.15277643384779072,60,50
HC,NR_100ms_beta,NR,100ms,beta,0.007576882047142762,0.01163074450162662,0.01985920192354509,0.0013694116754181807,0.07006573695877055,60,100
HC,NR_150ms_beta,NR,150ms,beta,7.810799680830061e-32,7.518746238672268e-32,4.856745674541087e-32,1.702138997250661e-32,1.9188713558483841e-31,60,150
HC,NR_200ms_beta,NR,200ms,beta,0.12358278818467987,0.11901410137212916,0.0351976756793809,0.0566829685187889,0.18614896327049474,60,200
HC,NR_250ms_beta,NR,250ms,beta,0.0021803094673471723,0.0032521140702555704,0.00454841135245809,3.363591884583824e-4,0.012761158673856288,60,250
HC,NR_300ms_beta,NR,300ms,beta,0.08054785676645491,0.0786101253158598,0.01959613228844162,0.047374795132849784,0.11246348269025583,60,300
HC,NR_350ms_beta,NR,350ms,beta,0.1134927943160676,0.10838188452240109,0.02952885519329415,0.057939312844770496,0.16582224028360573,60,350
