CueType,DurationF,Session_z,kappa,gamma,beta,p_target,log_kappa,circSD_deg,ID,SessionSlice
R,300ms,-1.3927707358090902,14.17252562923968,4.2428472881727166e-172,0.03604870144009536,0.9639512985599047,2.6513052755928612,15.504549734226874,AQ,early
R,350ms,-1.3927707358090902,15.086555257528326,9.02803888384381e-11,0.02360856341291379,0.9763914364968058,2.713803966900757,15.00977768647616,AQ,early
NR,50ms,-1.3927707358090902,7.110716266102843,0.12162691779118215,0.19728769201539278,0.6810853901934251,1.9616029794025904,22.34871839070238,HC,early
NR,100ms,-1.3927707358090902,6.57459480138611,0.3568892656114574,3.0179021003748217e-4,0.6428089441785051,1.8832129489991858,23.32865375798006,HC,early
NR,150ms,-1.3927707358090902,3.291119524652937,0.17741757958849078,3.768793258383292e-5,0.8225447324789253,1.1912277879443396,35.04447593343903,HC,early
NR,200ms,-1.3927707358090902,5.438663231767421,1.2289258767178724e-47,0.18894248244258555,0.8110575175574144,1.6935333012169038,25.93154653373341,HC,early
NR,250ms,-1.3927707358090902,3.5538287176265078,0.0348683400176349,0.009113868145134991,0.95601779183723,1.2680255343185491,33.3853886594069,HC,early
NR,300ms,-1.3927707358090902,9.126031881906751,2.1099301702549267e-7,0.1140191475575534,0.8859806414494296,2.2111309760238456,19.53937884519725,HC,early
NR,350ms,-1.3927707358090902,10.137154453877237,0.13081457515540545,0.0692272106568658,0.7999582141877287,2.316207332929864,18.479674191974144,HC,early
R,50ms,-1.3927707358090902,10.728636542548184,3.6090067135462406e-4,0.11453181081566327,0.885107288512982,2.3729164789085724,17.934718809860833,HC,early
R,100ms,-1.3927707358090902,8.414846583834516,0.07108731892903081,0.05388347030820702,0.8750292107627621,2.1299975962031987,20.405099501198023,HC,early
R,150ms,-1.3927707358090902,11.2173765916977,0.17283076605103367,1.8427274319016585e-39,0.8271692339489664,2.417464057398767,17.5191799325625,HC,early
R,200ms,-1.3927707358090902,10.993702021316407,0.025511006670709647,0.06292173530432853,0.9115672580249619,2.397322565316053,17.70572036878638,HC,early
R,250ms,-1.3927707358090902,11.152617180485429,4.8542254762476655e-5,0.0056526966182553545,0.9942987611269821,2.411674195069807,17.57257864071805,HC,early
R,300ms,-1.3927707358090902,9.596494070631515,0.011145346043156739,0.04931179735985556,0.9395428565969877,2.26139783079579,19.024090517813534,HC,early
R,350ms,-1.3927707358090902,12.253450421112815,0.06097563324082697,0.044939899531721714,0.8940844672274513,2.505807564359643,16.726233890244117,HC,early
NR,50ms,-1.3927707358090902,6.389291777862885,3.725679349471379e-12,0.41556329586882546,0.5844367041274489,1.8546234293617179,23.699116108136867,YILIU,early
NR,100ms,-1.3927707358090902,6.882916739807657,0.1910572037826771,0.20143222012886994,0.6075105760884529,1.9290425068455566,22.749544475333213,YILIU,early
NR,150ms,-1.3927707358090902,9.210653588236244,0.38572477195738497,0.11670068860700186,0.49757453943561314,2.2203608128129675,19.443585684843878,YILIU,early
NR,200ms,-1.3927707358090902,7.113178886592016,0.04594699750990279,0.3017898830475648,0.6522631194425323,1.9619492446818747,22.344501851464905,YILIU,early
NR,250ms,-1.3927707358090902,7.345478073301141,0.3635079915838416,0.04704944858252803,0.5894425598336304,1.9940848957719721,21.95730450718724,YILIU,early
NR,300ms,-1.3927707358090902,12.53188936923692,0.16518342936200656,0.17039587749182453,0.6644206931461689,2.528276545189259,16.530908212004874,YILIU,early
NR,350ms,-1.3927707358090902,7.401123179998521,0.2253314798961513,0.11471052293756988,0.6599579971662788,2.0016317697734225,21.867540714820098,YILIU,early
R,50ms,-1.3927707358090902,15.67863532691385,0.11480312566879491,0.005867204093702992,0.8793296702375021,2.7522989784123637,14.713506252400087,YILIU,early
R,100ms,-1.3927707358090902,21.45241633992529,0.049525880244592986,0.07304220588763134,0.8774319138677756,3.0658372889094716,12.520265770085523,YILIU,early
R,150ms,-1.3927707358090902,19.837922729495634,0.024164105490865326,0.021568043438042667,0.954267851071092,2.987595395240888,13.03301875695532,YILIU,early
R,200ms,-1.3927707358090902,26.381816396678303,0.03389773250190087,7.161211432772104e-7,0.9661015513769559,3.272674999986178,11.264070165799833,YILIU,early
R,250ms,-1.3927707358090902,28.658611330740598,0.08946816393630913,0.005316920280566687,0.9052149157831242,3.3554539680070308,10.798813509438302,YILIU,early
R,300ms,-1.3927707358090902,25.819694214931182,2.1371814691818706e-51,1.854742421583683e-14,0.9999999999999815,3.251137542394502,11.388504727415881,YILIU,early
R,350ms,-1.3927707358090902,32.46391435832769,0.05210535498945506,0.016209572994629707,0.9316850720159153,3.4801291450294523,10.135338694411447,YILIU,early
