uid,Cond,Stage,nObs,CircSDDeg,MeanAbsDeg,CentralMass,ShoulderMass,TailMass
ES,S4C4NR,POP-only refit,499,32.2331377574806,20.7898975505822,0.700095410820362,0.211642544976736,0.088262044202902
ES,S4C4NR,POP in H0a,499,29.3124081466813,16.8956225691752,0.829833739077602,0.0905056377667917,0.0796606231556062
ES,S4C4NR,CDM fixed drift,499,11.1086839199464,8.3953880134253,0.903861768227202,0.0957139971476822,0.000424234625115535
ES,S4C4NR,H0a POPCDM,499,31.3467722387952,20.3409979400122,0.69618794265661,0.221580773938066,0.0822312834053242
ES,S6C2NR,Observed,500,16.8810294660703,11.3328,0.814,0.158,0.028
ES,S6C2NR,POP-only refit,500,19.1470071709802,13.3266465748935,0.764806522374989,0.217211403576047,0.0179820740489644
ES,S6C2NR,POP in H0a,500,15.1718590943156,9.54521943351366,0.903216105397646,0.0835182097081488,0.013265684894205
ES,S6C2NR,CDM fixed drift,500,12.0728914137566,9.10496447890832,0.878442322742377,0.120371712890275,0.00118596436734849
ES,S6C2NR,H0a POPCDM,500,19.3891726349043,13.8572191253626,0.737932104437019,0.244158413210073,0.0179094823529081
ES,S6C2R,Observed,500,14.8120462104852,10.728,0.826,0.168,0.006
ES,S6C2R,POP-only refit,500,17.347392152544,12.5558336959038,0.77148995810059,0.217786561498996,0.0107234804004146
ES,S6C2R,POP in H0a,500,13.8948852344816,9.08909517339105,0.907769798157896,0.0830846096192032,0.00914559222290108
ES,S6C2R,CDM fixed drift,500,12.0728914137566,9.10496447890832,0.878442322742377,0.120371712890275,0.00118596436734849
ES,S6C2R,H0a POPCDM,500,18.4071329317678,13.4255409908182,0.741548748558053,0.24463553456555,0.0138157168763972
ES,S6C4NR,Observed,498,29.7302748249543,19.8506024096386,0.668674698795181,0.238955823293173,0.0923694779116466
ES,S6C4NR,POP-only refit,498,33.6491951324434,21.7663749161387,0.691628733773198,0.210913926256566,0.0974573399702367
ES,S6C4NR,POP in H0a,498,29.4989833766097,17.0176958754967,0.828615026591082,0.0906216828911284,0.0807632905177896
ES,S6C4NR,CDM fixed drift,498,12.0728914137566,9.10496447890832,0.878442322742377,0.120371712890275,0.00118596436734849
ES,S6C4NR,H0a POPCDM,498,31.8738878604705,20.92920580293,0.6786822675917,0.236341950898212,0.0849757815100879
ES,S6C4R,Observed,498,39.7877215441092,26.9349397590361,0.594377510040161,0.228915662650602,0.176706827309237
ES,S6C4R,POP-only refit,498,46.2104388857512,31.4341899739534,0.607802655736473,0.203700086711756,0.188497257551771
ES,S6C4R,POP in H0a,498,42.4018232568652,26.6346953570885,0.732604213873347,0.0997637790153,0.167632007111353
ES,S6C4R,CDM fixed drift,498,12.0728914137566,9.10496447890832,0.878442322742377,0.120371712890275,0.00118596436734849
ES,S6C4R,H0a POPCDM,498,44.0870652526882,30.0307791220347,0.602428343654989,0.226282245178873,0.171289411166138
ES,S6C6NR,Observed,499,56.2439135131541,40.6316633266533,0.48496993987976,0.214428857715431,0.30060120240481
ES,S6C6NR,POP-only refit,499,61.7669502457207,44.654529234861,0.493173943464921,0.193835457983774,0.312990598551305
ES,S6C6NR,POP in H0a,499,59.1261650308042,41.0745365243907,0.588444812737744,0.113490556917486,0.29806463034477
ES,S6C6NR,CDM fixed drift,499,12.0728914137566,9.10496447890832,0.878442322742377,0.120371712890275,0.00118596436734849
ES,S6C6NR,H0a POPCDM,499,60.3461523076513,43.6967123844821,0.487933739372512,0.211177684441909,0.300888576185579
HC,S2C2NR,Observed,499,19.0501787414799,13.7795591182365,0.725450901803607,0.240480961923848,0.0340681362725451
HC,S2C2NR,POP-only refit,499,20.7534481452317,15.6107802175578,0.663719315539641,0.314118406332482,0.0221622781278765
HC,S2C2NR,POP in H0a,499,20.65875341953,14.8729054200707,0.70632038475787,0.271922104275966,0.0217575109661636
HC,S2C2NR,CDM fixed drift,499,8.02069179650869,5.90248498207402,0.977873965922936,0.0221250402063016,9.93870762610783e-07
