index,r,g,b
216,0.0,237.85654245571476,254.99999999999997
217,0.0,237.21438163307772,254.99999999999997
218,0.0,236.55936553662576,254.99999999999997
219,0.0,235.8917112640523,254.99999999999997
220,0.0,235.21164030980916,254.99999999999997
221,0.0,234.5193784709762,254.99999999999997
222,0.0,233.81515574782046,254.99999999999997
223,0.0,233.09920623902363,254.99999999999997
224,0.0,232.3717680315697,254.99999999999997
225,0.0,231.63308308528934,254.99999999999997
226,0.0,230.8833971120676,254.99999999999997
227,0.0,230.1229594497308,254.99999999999997
228,0.0,229.35202293063531,254.99999999999997
229,0.0,228.57084374499544,254.99999999999997
230,0.0,227.77968129899247,254.99999999999997
231,0.0,226.97879806772292,254.99999999999997
232,0.0,226.1684594430509,254.99999999999997
233,0.0,225.3489335764449,254.99999999999997
234,0.0,224.52049121688856,254.99999999999997
235,0.0,223.6834055439719,254.99999999999997
236,0.0,222.83795199627548,254.99999999999997
237,0.0,221.98440809518524,254.99999999999997
238,0.0,221.1230532642764,254.99999999999997
239,0.0,220.25416864443304,254.99999999999997
240,0.0,219.37803690487414,254.99999999999997
241,0.0,218.49494205028043,254.99999999999997
242,0.0,217.60516922422997,254.99999999999997
243,0.0,216.70900450916545,254.99999999999997
244,0.0,215.80673472313558,254.99999999999997
245,0.0,214.8986472135713,254.99999999999997
246,0.0,213.98502964837337,254.99999999999997
247,0.0,213.06616980460467,254.99999999999997
248,0.0,212.14235535510605,254.99999999999997
249,24.645975353105307,211.21387365336247,254.99999999999997
250,40.60399638547579,210.28101151697777,254.99999999999997
251,51.927326270217854,209.3440550101218,254.99999999999997
252,61.141853067371635,208.40328922534445,254.99999999999997
253,69.0944650718029,207.45899806516303,254.99999999999997
254,76.18902396821346,206.5114640238497,254.99999999999997
255,82.6541928099771,205.56096796986685,254.99999999999997
256,88.63372310374507,204.60778892941084,254.99999999999997
257,94.2246503297669,203.65220387155026,254.99999999999997
258,99.49595329964659,202.6944874954541,254.99999999999997
259,104.49863635613299,201.73491202022754,254.99999999999997
260,109.27160160355554,200.7737469778871,254.99999999999997
261,113.84527425331049,199.8112590100205,254.99999999999997
262,118.24394765296843,198.8477116686938,254.99999999999997
263,122.4873592610229,197.8833652221775,254.99999999999997
264,126.59178414982333,196.91847646608042,254.99999999999997
265,130.5708145812765,195.95329854048296,254.99999999999997
266,134.43592887372765,194.9880807536778,254.99999999999997
267,138.1969149977003,194.02306841312947,254.99999999999997
268,141.86219164732907,193.0585026642692,254.99999999999997
269,145.43905545246022,192.094620337747,254.99999999999997
270,148.93387400257626,191.13165380576416,254.99999999999997
271,152.35223846181307,190.1698308481094,254.99999999999997
272,155.6990856062001,189.2093745285143,254.99999999999997
273,158.97879641439323,188.25050308195097,254.99999999999997
274,162.1952764628715,187.29342981346943,254.99999999999997
275,165.3520220450589,186.33836300918202,254.99999999999997
276,168.45217497666107,185.38550585997265,254.99999999999997
277,171.49856835178326,184.43505639850514,254.99999999999997
