ID,Session,Session_z,SessionPhase,CueType,Duration,Duration_ms,Grouping,AbsErr,SignedErr,RT,logRT
YILIU,2,-1.21868993799503,Early,R,150ms,150,Separated,16.5570792850377,16.5570792850377,1304.23739999969,7.17337378113105
YILIU,2,-1.21868993799503,Early,R,300ms,300,Separated,3.92212985606352,3.92212985606352,1555.26320000354,7.34940007074284
YILIU,2,-1.21868993799503,Early,R,250ms,250,Grouped,29,29,1714.89860000293,7.44710923248934
YILIU,2,-1.21868993799503,Early,R,350ms,350,Separated,9.61477894278624,9.61477894278624,1176.38689999876,7.07020307094864
YILIU,2,-1.21868993799503,Early,NR,150ms,150,Grouped,2.4600124352861,2.4600124352861,1951.40399999946,7.57630439248186
YILIU,2,-1.21868993799503,Early,R,350ms,350,Grouped,3.41442321140215,-3.41442321140215,1485.75359999813,7.30367739726126
YILIU,2,-1.21868993799503,Early,R,300ms,300,Separated,10.7860270149295,10.7860270149295,1362.16510000668,7.21683069816384
YILIU,2,-1.21868993799503,Early,NR,100ms,100,Separated,125.075098492446,125.075098492446,2169.68440000346,7.68233699817098
YILIU,2,-1.21868993799503,Early,NR,150ms,150,Separated,62.5252257437443,62.5252257437443,1363.52220000117,7.21782648378212
YILIU,2,-1.21868993799503,Early,R,250ms,250,Separated,7.3907255535542,7.3907255535542,1390.21450000291,7.23721333076802
YILIU,2,-1.21868993799503,Early,R,350ms,350,Separated,3.13010235415598,-3.13010235415598,1434.63840000186,7.26866811037848
YILIU,2,-1.21868993799503,Early,NR,200ms,200,Separated,124.931420323155,124.931420323155,1429.86750000273,7.26533706162025
YILIU,2,-1.21868993799503,Early,R,200ms,200,Grouped,17.5855767885978,17.5855767885978,1681.23779999587,7.42728558681579
YILIU,2,-1.21868993799503,Early,NR,250ms,250,Grouped,14.6207518323869,14.6207518323869,1079.04250000138,6.98382935280623
YILIU,2,-1.21868993799503,Early,NR,50ms,50,Grouped,153.236394799059,153.236394799059,1406.0673999993,7.24855200863225
YILIU,2,-1.21868993799503,Early,R,150ms,150,Separated,30.4032829223715,30.4032829223715,1465.83950000058,7.29018339487091
YILIU,2,-1.21868993799503,Early,R,350ms,350,Grouped,10.9872124958167,10.9872124958167,1328.15180000034,7.19154363073298
YILIU,2,-1.21868993799503,Early,NR,250ms,250,Separated,2.65215073731565,-2.65215073731565,882.050100000924,6.78224885711571
YILIU,2,-1.21868993799503,Early,NR,300ms,300,Separated,0,0,1005.93739999749,6.91367512208087
YILIU,2,-1.21868993799503,Early,R,350ms,350,Separated,6.34451346088071,6.34451346088071,1353.58220000489,7.21050983865091
YILIU,2,-1.21868993799503,Early,R,200ms,200,Separated,2.675910460029,2.675910460029,1341.68430000136,7.20168104395635
YILIU,2,-1.21868993799503,Early,R,150ms,150,Separated,31.8579988913278,31.8579988913278,1259.75710000057,7.13867420358417
YILIU,2,-1.21868993799503,Early,R,350ms,350,Separated,7.23610153907001,7.23610153907001,1602.47119999985,7.37930221671436
YILIU,2,-1.21868993799503,Early,R,350ms,350,Grouped,9.90171603289201,9.90171603289201,1352.77760000463,7.20991523920115
YILIU,2,-1.21868993799503,Early,R,250ms,250,Grouped,4.27770286686646,4.27770286686646,1747.80569999712,7.46611639442918
YILIU,2,-1.21868993799503,Early,NR,200ms,200,Grouped,0.0977788384698215,-0.0977788384698215,1151.51710000646,7.04883556935148
YILIU,2,-1.21868993799503,Early,NR,300ms,300,Separated,5.58234282298679,-5.58234282298679,1330.32020000246,7.19317494412127
YILIU,2,-1.21868993799503,Early,R,250ms,250,Grouped,5.90426571549176,-5.90426571549176,995.671499993477,6.9034173838986
YILIU,2,-1.21868993799503,Early,R,250ms,250,Separated,16.2573886425184,16.2573886425184,975.402700001723,6.88285041136903
YILIU,2,-1.21868993799503,Early,NR,300ms,300,Separated,57.4087182028818,57.4087182028818,1560.37590000051,7.3526820327558
YILIU,2,-1.21868993799503,Early,NR,350ms,350,Separated,22.4924755773611,-22.4924755773611,1247.42349999724,7.12883550309786
YILIU,2,-1.21868993799503,Early,NR,50ms,50,Separated,13.1829651585409,13.1829651585409,1122.80769999779,7.02358770231761
YILIU,2,-1.21868993799503,Early,NR,300ms,300,Separated,14.0484877558032,14.0484877558032,1091.03879999748,6.99488554890141
YILIU,2,-1.21868993799503,Early,R,50ms,50,Grouped,4.16950192308292,4.16950192308292,1037.23729999911,6.94431601522296
YILIU,2,-1.21868993799503,Early,R,150ms,150,Separated,9.189503612078,9.189503612078,1058.13329999364,6.96426159691442
YILIU,2,-1.21868993799503,Early,R,350ms,350,Grouped,7.31563551000386,7.31563551000386,1528.5911999963,7.33210180588805
YILIU,2,-1.21868993799503,Early,R,250ms,250,Separated,17.5560452195834,17.5560452195834,987.206699996023,6.89487943999602
YILIU,2,-1.21868993799503,Early,NR,100ms,100,Separated,6.37211054329254,6.37211054329254,1059.75170000602,6.96578991438906
YILIU,2,-1.21868993799503,Early,R,50ms,50,Separated,1.57934744245534,-1.57934744245534,1239.10720000276,7.12214639927683
YILIU,2,-1.21868993799503,Early,R,150ms,150,Separated,4.72182580013097,4.72182580013097,987.814799998887,6.8954952307832
YILIU,2,-1.21868993799503,Early,R,100ms,100,Separated,2.56451864257559,2.56451864257559,1224.31009999855,7.11013278065668
YILIU,2,-1.21868993799503,Early,NR,350ms,350,Separated,32.072486935853,-32.072486935853,1514.55849999911,7.32287925633016
YILIU,2,-1.21868993799503,Early,NR,350ms,350,Separated,21.7372984148986,21.7372984148986,1152.7186999956,7.04987851825286
YILIU,2,-1.21868993799503,Early,R,100ms,100,Grouped,7.75952216689285,-7.75952216689285,838.439600003767,6.73154254528026
YILIU,2,-1.21868993799503,Early,NR,300ms,300,Separated,77.6404912732646,-77.6404912732646,1599.11930000089,7.3772083191821
YILIU,2,-1.21868993799503,Early,R,150ms,150,Separated,6.48863673283694,6.48863673283694,1226.93010000512,7.11227047487718
YILIU,2,-1.21868993799503,Early,NR,100ms,100,Separated,12.4236656250026,12.4236656250026,861.265500003356,6.75840281926706
YILIU,2,-1.21868993799503,Early,NR,100ms,100,Separated,5.03939956892691,-5.03939956892691,1016.26730000135,6.92389168408868
YILIU,2,-1.21868993799503,Early,NR,50ms,50,Grouped,3.32285838375509,3.32285838375509,1361.49759999535,7.21634054934718
YILIU,2,-1.21868993799503,Early,NR,250ms,250,Separated,2.66778014613033,2.66778014613033,996.793799997249,6.90454392810739
