index,r,g,b
58,255,157.539563307609,0
59,255,158.606947300694,0
60,255,159.684193788901,0
61,255,160.770749773992,0
62,255,161.866066259845,0
63,255,162.969598706578,0
64,255,164.080807446462,0
65,255,165.199158062962,0
66,255,166.324121734359,0
67,255,167.455175543466,0
68,255,168.591802754953,0
69,255,169.733493061856,0
70,255,170.879742802833,0
71,255,172.030055151733,0
72,255,173.183940281037,0
73,255,174.340915500696,0
74,255,175.500505373869,0
75,255,176.66224181103,0
76,255,177.825664143861,0
77,255,178.990319180323,0
78,255,180.155761242219,0
79,255,181.32155218654,0
80,255,182.487261411814,0
81,255,183.65246585064,0
82,255,184.816749949511,0
83,255,185.979705637002,0
84,255,187.140932281335,0
85,255,188.300036638266,0
86,255,189.45663279022,0
87,255,190.610342077508,0
88,255,191.760793022456,0
89,255,192.907621247189,0
90,255,194.050469385792,0
91,255,195.188986991524,0
92,255,196.322830439707,0
93,255,197.451662826884,0
94,255,198.575153866809,0
95,253.342396111529,199.692979783766,0
96,251.170984994747,200.804823203724,0
97,248.966785858999,201.910373043769,0
98,246.729551784981,203.009324400232,0
99,244.459012981892,204.101378435916,0
100,242.154874973233,205.186242266792,0
101,239.816816620643,206.263628848486,0
102,237.444487967054,207.333256862911,0
103,235.037507877888,208.394850605305,0
104,232.595461456019,209.448139871983,0
105,230.117897202734,210.492859849033,0
106,227.604323892839,211.528751002224,0
107,225.054207127295,212.555558968319,0
108,222.466965521138,213.573034448028,0
109,219.841966477817,214.580933100767,0
110,217.178521493239,215.579015441418,0
111,214.475880923454,216.567046739253,0
112,211.73322813882,217.544796919159,0
113,208.949672974103,218.512040465328,0
114,206.124244367907,219.468556327516,0
115,203.255882065421,220.414127830018,0
116,200.343427234823,221.348542583435,0
117,197.38561181885,222.271592399367,0
118,194.381046407629,223.183073208096,0
119,191.32820637508,224.082784979358,0
120,188.225415966876,224.970531646269,0
121,185.070829959941,225.846121032477,0
122,181.862412427877,226.709364782602,0
123,178.597912038196,227.560078296001,0
124,175.274833168575,228.398080663928,0
125,171.890401950676,229.223194610104,0
126,168.441526117954,230.035246434748,0
127,164.924747229297,230.834065962078,0
128,161.33618343686,231.619486491326,0
129,157.671460425843,232.391344751248,0
130,153.925627421354,233.149480858175,0
131,150.093054151766,233.893738277581,14.0923317622566
132,146.167303258038,234.623963789173,27.8165243150045
133,142.140970660191,235.340007455506,37.3231531990782
134,138.005483549373,236.041722594094,45.0591875898263
135,133.750841513625,236.728965753014,51.7746402776878
136,129.365280091239,237.401596689964,57.8141647919267
137,124.834826550748,238.05947835477,63.3686432079368
138,120.142702814113,238.702476875284,68.5562434679447
